external_id,title,company,location,remote_type,salary_min,salary_max,posted_at,url,description
curated-job-013,AI Data Scientist,VisionWorks AI,San Francisco CA,Hybrid,150000,205000,2026-06-08,https://example.com/jobs/curated-ai-data-scientist-013,"Build NLP and deep learning models with Python PyTorch TensorFlow scikit-learn and responsible AI. Analyze unstructured text and create model evaluation dashboards."
curated-job-014,Revenue Operations Analyst,ScaleSuite,Remote,Remote,82000,108000,2026-06-07,https://example.com/jobs/curated-revops-analyst-014,"Develop revenue dashboards using SQL Excel Power BI data visualization and forecasting. Maintain CRM data quality and present pipeline insights to leadership."
curated-job-015,Data Visualization Specialist,CivicMetrics,Portland OR,Hybrid,86000,112000,2026-06-06,https://example.com/jobs/curated-data-viz-015,"Design Tableau and Power BI dashboards with strong data visualization principles. Use SQL Python and statistics to build trusted public-facing analytics products."
curated-job-016,Data Warehouse Engineer,RetailSphere,Atlanta GA,Hybrid,115000,150000,2026-06-05,https://example.com/jobs/curated-warehouse-engineer-016,"Build dimensional data models ETL and ELT pipelines using SQL Server PostgreSQL dbt Airflow and Python. Optimize warehouse performance and BI data marts."
curated-job-017,Customer Insights Data Scientist,TravelNest,Remote,Remote,130000,168000,2026-06-04,https://example.com/jobs/curated-customer-insights-ds-017,"Use machine learning clustering forecasting Python pandas scikit-learn and statistics to understand customer segments. Build dashboards and explain growth opportunities."
curated-job-018,Azure Data Engineer,MedSupply Network,Dallas TX,Hybrid,122000,160000,2026-06-03,https://example.com/jobs/curated-azure-data-engineer-018,"Develop Azure Data Factory pipelines Azure SQL Databricks Spark and Microsoft Fabric models. Automate data quality checks and serve curated datasets to Power BI."
curated-job-019,Reporting Analyst,EduPath,Remote,Remote,72000,94000,2026-06-02,https://example.com/jobs/curated-reporting-analyst-019,"Create recurring reports with Excel SQL Power BI and data visualization. Clean data validate metrics and document business definitions for education programs."
curated-job-020,Data Science Consultant,InsightForge,New York NY,Hybrid,135000,180000,2026-06-01,https://example.com/jobs/curated-ds-consultant-020,"Deliver client analytics projects using Python SQL machine learning forecasting A/B testing Tableau Power BI and responsible AI. Present insights and production recommendations."
curated-job-021,Senior Analytics Engineer,MarketPulse,Remote,Remote,120000,158000,2026-05-31,https://example.com/jobs/curated-analytics-engineer-021,"Own dbt models SQL transformations Git workflows and data quality tests. Build semantic layers for Power BI Tableau and executive KPI reporting."
curated-job-022,Principal Data Engineer,MarketPulse,Denver CO,Hybrid,150000,198000,2026-05-30,https://example.com/jobs/curated-principal-data-engineer-022,"Architect Spark Databricks Airflow AWS PostgreSQL and data pipeline frameworks. Lead data modeling ELT orchestration Docker deployments and governance."
curated-job-023,Healthcare Data Analyst,HealthBridge,Remote,Remote,84000,111000,2026-05-29,https://example.com/jobs/curated-healthcare-analyst-023,"Use SQL Python Excel Power BI statistics and data visualization to analyze patient access quality metrics and operational trends. Validate source data and automate reporting."
curated-job-024,Operations Research Data Scientist,LogiRoute,Chicago IL,Hybrid,126000,164000,2026-05-28,https://example.com/jobs/curated-operations-ds-024,"Apply forecasting statistics machine learning Python pandas scikit-learn and optimization methods. Build dashboards and APIs for logistics decision support."
curated-job-025,Financial Data Engineer,TrustBank,Charlotte NC,Hybrid,118000,152000,2026-05-27,https://example.com/jobs/curated-financial-data-engineer-025,"Develop secure ETL pipelines with Python SQL Server PostgreSQL Airflow dbt and Azure Data Factory. Implement data quality checks for finance reporting."
curated-job-026,Machine Learning Data Analyst,AdVista,Remote,Remote,98000,128000,2026-05-26,https://example.com/jobs/curated-ml-data-analyst-026,"Analyze advertising experiments with SQL Python A/B testing forecasting statistics and machine learning. Create Power BI dashboards for spend performance and conversion."
curated-job-027,BI Analytics Lead,FoodLoop,Minneapolis MN,Hybrid,112000,145000,2026-05-25,https://example.com/jobs/curated-bi-lead-027,"Lead Tableau Power BI data visualization SQL Excel and data modeling work for retail operations. Define trusted metrics and coach analysts on dashboard design."
curated-job-028,NLP Data Scientist,LexiSearch,San Francisco CA,Hybrid,148000,196000,2026-05-24,https://example.com/jobs/curated-nlp-data-scientist-028,"Build NLP deep learning and responsible AI systems with Python PyTorch TensorFlow scikit-learn and APIs. Evaluate model quality and monitor production drift."
curated-job-029,Cloud Analytics Engineer,FinOps Cloud,Remote,Remote,116000,150000,2026-05-23,https://example.com/jobs/curated-cloud-analytics-engineer-029,"Create analytics pipelines with Microsoft Fabric Azure SQL Databricks Spark dbt and Power BI. Build data quality checks and dimensional models for finance teams."
curated-job-030,Data Governance Analyst,CivicMetrics,Washington DC,On-site,88000,116000,2026-05-22,https://example.com/jobs/curated-data-governance-030,"Manage data quality rules validation checks metric definitions SQL audits and responsible AI documentation. Build dashboards for governance issues and data stewardship."
