external_id,title,company,location,remote_type,salary_min,salary_max,posted_at,url,description
tech-job-012,Applied Scientist,Research Stack,Boston MA,On-site,140000,190000,2026-07-13,https://example.com/jobs/applied-scientist-012,"Research machine learning deep learning NLP computer vision statistics Python PyTorch TensorFlow and responsible AI."
tech-job-013,DevOps Engineer,DeployFlow,Remote,Remote,120000,160000,2026-07-18,https://example.com/jobs/devops-engineer-013,"Automate AWS infrastructure with Terraform Kubernetes Helm Docker Jenkins GitHub Actions Ansible Linux Bash and CI/CD."
tech-job-014,Site Reliability Engineer,Reliable Systems,Denver CO,Hybrid,130000,170000,2026-07-17,https://example.com/jobs/sre-014,"Improve reliability using Kubernetes Terraform Prometheus Grafana Linux Go Python incident automation and CI/CD."
tech-job-015,Azure Cloud Engineer,CloudBridge,Atlanta GA,Hybrid,118000,155000,2026-07-16,https://example.com/jobs/cloud-engineer-015,"Design Azure cloud services with Terraform Kubernetes Docker IAM Active Directory networking Linux and PowerShell automation."
tech-job-016,Platform Engineer,Developer Platform,Remote,Remote,128000,168000,2026-07-15,https://example.com/jobs/platform-engineer-016,"Build internal platforms using Go Kubernetes Helm Terraform Kafka PostgreSQL Prometheus Grafana Git and APIs."
tech-job-017,Systems Engineer,Core Infrastructure,Dallas TX,On-site,95000,128000,2026-07-14,https://example.com/jobs/systems-engineer-017,"Manage Linux Windows Server Active Directory networking TCP/IP Ansible Bash Docker and infrastructure monitoring."
tech-job-018,Oracle Database Administrator,Finance Systems,New York NY,Hybrid,110000,145000,2026-07-18,https://example.com/jobs/oracle-dba-018,"Administer Oracle Database PL/SQL Linux backups high availability database performance tuning IAM and security controls."
tech-job-019,PostgreSQL Database Administrator,Market Hub,Remote,Remote,108000,142000,2026-07-17,https://example.com/jobs/postgresql-dba-019,"Operate PostgreSQL databases with SQL Linux AWS Terraform monitoring backups replication and database administration."
tech-job-020,Database Engineer,Commerce Platform,Chicago IL,Hybrid,115000,152000,2026-07-16,https://example.com/jobs/database-engineer-020,"Design PostgreSQL MongoDB Redis Cassandra SQL data models APIs microservices and database performance tuning."
tech-job-021,Database Reliability Engineer,ScaleDB,Remote,Remote,130000,170000,2026-07-15,https://example.com/jobs/database-reliability-021,"Improve SQL Server PostgreSQL reliability using Prometheus Grafana Linux Python Terraform backups and incident automation."
tech-job-022,Cybersecurity Engineer,SecureWorks,Washington DC,Hybrid,120000,160000,2026-07-18,https://example.com/jobs/security-engineer-022,"Implement cybersecurity IAM SIEM cloud security AWS Azure Linux networking Python and incident response controls."
tech-job-023,SOC Security Analyst,Defense Grid,Remote,Remote,90000,125000,2026-07-17,https://example.com/jobs/security-analyst-023,"Monitor SIEM cybersecurity events IAM access network traffic Linux systems and incident response playbooks."
tech-job-024,Network Engineer,Connected Health,Phoenix AZ,On-site,95000,130000,2026-07-16,https://example.com/jobs/network-engineer-024,"Engineer computer networking TCP/IP Linux Azure AWS IAM firewalls monitoring and infrastructure automation."
tech-job-025,Systems Administrator,City Services,Philadelphia PA,On-site,85000,115000,2026-07-15,https://example.com/jobs/systems-admin-025,"Administer Windows Server Active Directory Linux networking ServiceNow ITIL IAM backups and endpoint support."
tech-job-026,IT Support Engineer,Service Desk Plus,Remote,Remote,65000,90000,2026-07-14,https://example.com/jobs/it-support-026,"Resolve application and desktop issues using ServiceNow ITIL Active Directory Windows Server networking and stakeholder management."
tech-job-027,Technology Consultant,Advisory Partners,New York NY,Hybrid,105000,145000,2026-07-18,https://example.com/jobs/technology-consultant-027,"Lead requirements analysis stakeholder management solution architecture ITIL Agile Scrum cloud and software modernization programs."
tech-job-028,Data and Analytics Consultant,Insight Advisory,Chicago IL,Hybrid,110000,150000,2026-07-17,https://example.com/jobs/data-consultant-028,"Advise clients on SQL Power BI Tableau data modeling cloud data engineering data quality requirements and stakeholder management."
tech-job-029,AI Strategy Consultant,Responsible Systems,Remote,Remote,125000,170000,2026-07-16,https://example.com/jobs/ai-consultant-029,"Design GenAI LLM RAG responsible AI MLOps prompt engineering and cloud adoption roadmaps for enterprise clients."
tech-job-030,Cloud Transformation Consultant,Cloud Advisory,Austin TX,Hybrid,120000,165000,2026-07-15,https://example.com/jobs/cloud-consultant-030,"Plan AWS Azure GCP Terraform Kubernetes IAM DevOps ITIL solution architecture and stakeholder management transformations."
tech-job-031,Software Engineering Consultant,Product Advisory,Remote,Remote,115000,155000,2026-07-14,https://example.com/jobs/software-consultant-031,"Guide Java TypeScript React Node.js microservices APIs Docker Kubernetes CI/CD Agile and software architecture delivery."
